,class,mfcc,image
471,bird,"[-4.0951074e+02  6.2720543e+01 -1.5172283e+01  6.2466469e+01
  6.4102178e+00  4.7226868e+01  1.6168230e+01  3.3425056e+01
  1.5461407e+01 -3.7464750e+00  1.8728920e+00  1.2964697e+00
  1.0504185e+01  1.0453462e+01  4.5449886e+00  5.5362473e+00
 -4.7378392e+00 -6.7263585e-01 -4.9995637e+00  1.8713646e+00
  1.5622002e+00  3.7144431e-01  3.1239107e+00  7.2067213e+00
 -9.2042655e-01  2.6712883e+00 -1.2381580e+00  7.0462661e+00
 -1.6294491e+00 -9.1041774e-01  2.9961128e+00  2.3473139e+00
  2.0502658e+00  5.5888782e+00  2.3628407e+00  3.3776414e+00
  2.9760072e+00  4.2583294e+00  4.6239290e+00  2.9481843e+00]",0532.jpg
472,dog,"[-3.7704349e+02  1.3378400e+02 -2.3097731e-01 -3.4449182e+00
 -6.4045362e+00 -1.3638327e+00  2.0478215e+00  7.7721071e+00
  3.9110236e+00  9.9763870e-01 -3.4731522e+00  1.7594077e-02
 -1.2747182e+00  2.6561673e+00  4.6213775e+00  9.6707352e-02
 -5.1727409e+00 -2.9898674e+00 -1.1525528e+00 -1.1519834e+00
 -1.8718052e+00  1.1088572e+00  2.1340070e+00 -3.1547480e+00
 -2.6098921e+00 -2.7763101e-01 -3.9643240e-01  2.7265260e-01
  1.3192734e+00  3.0438441e-01 -1.1377255e+00  2.6553576e+00
 -3.8921526e-01 -6.2089849e-01  2.6450418e-02  1.8105392e-01
  1.6890248e+00  6.8901248e-02  1.0040740e+00 -4.6656659e-01]",n02092339_14.jpg
473,bird,"[-4.86641815e+02  6.56615925e+00 -7.47990189e+01 -5.53524017e+01
 -4.68952866e+01 -4.15642433e+01 -3.82992706e+01 -2.39721069e+01
 -2.31604633e+01 -1.00513315e+01 -9.14307785e+00  2.40308404e+00
 -2.49801517e+00  7.40508127e+00  4.28286552e+00  1.16541443e+01
  6.44991636e+00  1.25641518e+01  4.65763760e+00  7.93799877e+00
  1.88781548e+00  5.55182314e+00 -6.44781649e-01  3.60997486e+00
 -2.42228985e+00  1.13332570e+00 -3.69131875e+00 -6.48360625e-02
 -5.10868406e+00 -7.95952305e-02 -6.06822062e+00 -6.92127645e-01
 -4.52031136e+00  2.64454000e-02 -3.67258859e+00  7.39603937e-01
 -2.78956056e+00  1.39263129e+00 -2.35658360e+00  1.93453300e+00]",0090.jpg
474,bird,"[-3.5871463e+02  7.4775848e+01 -1.5002753e+01  4.8081558e+01
  1.5069293e+01  1.4674119e+01  2.1686378e+01  1.1348505e+01
  7.5807157e+00  1.8249052e+01  2.0218065e+00  1.2281905e+01
  5.5063725e+00  3.1903656e+00  3.4657891e+00  7.9831142e+00
 -4.6610460e+00  1.2216279e+01 -2.5904050e+00  6.8462968e+00
  5.3035445e+00  8.7451372e+00 -7.7795947e-01  6.5569735e+00
 -1.0468640e+00  5.4954009e+00 -1.2439879e+00  4.3088717e+00
 -3.5099821e+00  6.2326652e-01 -1.3879862e+00  1.5245274e+00
 -3.9099631e+00  3.1668646e+00 -7.3349875e-01  2.1933584e-01
 -5.5126405e+00 -5.5515122e-01 -2.4866126e+00  2.0299807e+00]",0035.jpg
475,bird,"[-5.5225641e+02  8.6689850e+01  4.0176132e+01  4.3535206e+01
  1.5020222e+01  2.4366480e+01  1.5541970e+01  1.2082522e+01
  4.2242875e+00  1.3341659e+01  5.8526778e+00  6.8096189e+00
  3.5826492e+00  1.0056577e+01  5.8869190e+00  1.0354381e+01
  4.1469760e+00  8.2459660e+00 -1.1643126e+00  5.7040892e+00
  8.3122534e-01  6.8588271e+00  1.9250820e+00  1.0621241e+00
 -4.4076209e+00  4.9692326e+00 -1.6755828e+00  5.0437322e+00
  1.4193032e+00  4.0694823e+00  8.7259638e-01  3.9130590e+00
 -4.7151675e+00 -5.1770109e-01 -5.0395803e+00  1.8113189e+00
 -2.7690271e-01  3.8902552e+00 -8.1309623e-01  2.2695601e+00]",0745.jpg
476,car,"[-5.3277538e+01  7.5088692e+01  3.1520960e+01  3.9668285e+01
 -1.1304618e+00  2.2441948e+01  6.7703524e+00  7.7842345e+00
  1.7332621e+01  7.4905000e+00 -2.9291146e+00  8.9770527e+00
 -1.9065663e+00  7.6463542e+00  7.3139630e-02  3.9459124e+00
  1.0148555e+00  3.5355508e+00 -2.1672239e+00  2.5225766e+00
 -6.0051484e+00  3.4088256e+00 -8.8972292e+00  2.6905601e+00
  1.5919131e+00  2.2465410e+00 -2.3571236e+00  3.3552663e+00
 -6.9140668e+00  7.6834126e+00 -4.3509736e+00  3.8484871e+00
  2.5313051e+00  3.4951212e+00  3.0528030e+00  3.8433516e+00
 -8.1055319e-01  6.9068789e+00 -2.7132924e+00  2.5086539e-02]",train_00526.jpg
477,car,"[-2.7745508e+02  9.2375916e+01  2.9673168e+01  4.6560635e+01
 -1.0770034e+01  1.8985338e+01  2.4620110e+01  1.9881721e+01
  7.0084186e+00  5.3021245e+00  5.3716570e-01  5.2356234e+00
  1.8338344e+00 -9.0586386e+00 -8.3490717e-01  6.2392712e+00
 -6.4896317e+00  2.8003683e+00  6.7040414e-01  1.0511473e+00
 -3.8391898e+00  2.8800049e+00 -5.8308988e+00  2.4640462e+00
 -4.9771242e+00 -1.8784496e+00 -5.0258303e+00  3.5982988e+00
 -9.6940559e-01 -2.0531316e+00 -6.7311921e+00  8.2218146e-01
 -4.5757642e+00 -1.8116926e-01 -4.5532794e+00 -1.1158881e+00
 -4.1135755e+00 -6.0324818e-01 -2.6693587e+00 -1.0346267e+00]",train_00691.jpg
478,dog,"[-3.02985077e+02  1.39934341e+02 -3.14170094e+01 -1.04554529e+01
 -1.64400826e+01 -1.14287796e+01 -1.43459356e+00  8.54278469e+00
 -1.06996412e+01  2.71562338e+00  1.12712021e+01  9.99180031e+00
  1.14716959e+01  1.38176365e+01  2.95084190e+00  3.01400518e+00
  2.89796495e+00 -4.29413223e+00 -3.50858378e+00  8.41006374e+00
  1.11853790e+01 -2.84104586e-01 -1.27635288e+00  5.31647873e+00
 -1.69538081e-01 -2.57737398e-01  4.33768845e+00 -8.35867107e-01
  5.46281815e-01 -1.82070136e-01 -4.99487829e+00 -2.63846898e+00
  5.55152535e-01  4.88740826e+00 -3.47420883e+00 -7.91726355e-03
 -1.81174004e+00 -3.79981089e+00 -4.64846992e+00 -2.66092825e+00]",n02099712_57.jpg
479,dog,"[-2.8255048e+02  1.4700369e+02 -4.8508045e+01 -3.2384622e+00
  1.1042059e+01  9.0402365e+00 -1.0501076e+01  4.6187857e-01
  5.8637843e+00  2.5659565e+01  3.8433075e+01  2.5395191e+01
  1.4248315e+00 -1.1987796e+01 -6.3108945e+00  3.7698710e+00
 -3.1570920e-01 -3.5914698e+00  8.0260019e+00  1.7579508e+01
  6.8665738e+00 -8.5604219e+00 -6.7424273e+00  1.9477172e+00
  2.1307182e+00  4.1305482e-01  1.4178568e+00  4.9205284e+00
  8.4632835e+00  5.5981612e+00 -8.9599648e+00 -1.1939172e+01
  1.6938013e-01  9.1130590e+00  7.8293157e+00  5.9956789e+00
  3.9697878e+00 -7.9480666e-01 -8.8224316e-01 -8.4882088e-02]",n02089867_90.jpg
480,car,"[-8.7795738e+01  1.1880759e+02 -2.2588539e+01  4.6413437e+01
 -1.4927148e+01  1.5117260e+00  1.4177625e+01  6.0073695e+00
  6.4084945e+00  4.5561352e+00 -1.1705041e+01  1.4500800e+01
 -6.4804001e+00  4.2559724e+00  4.7126457e-02  5.1905165e+00
 -6.2856445e+00  4.4824595e+00 -3.8514013e+00  4.0500445e+00
  2.0813513e+00  2.6353149e+00 -1.4097093e+00  2.7919445e+00
 -1.0484679e+00  6.2084765e+00  3.6236918e+00  4.8603630e+00
 -2.6289721e+00  3.2849402e+00 -1.4332145e+00  5.5848341e+00
 -1.3546529e+00  1.6882771e-01 -4.9229038e-01  9.0048103e+00
  1.4936413e+00  4.1270261e+00  2.4594259e+00  2.3819923e-02]",train_00297.jpg
481,car,"[-2.34227875e+02  9.28223190e+01 -1.06217165e+01  3.09564978e-01
 -2.03953385e+00  7.84021139e+00 -5.45197058e+00  1.22751164e+00
 -1.47062960e+01 -6.20413208e+00 -4.63770342e+00  8.28333318e-01
 -7.91333199e-01  1.33433495e+01  1.15814292e+00  2.72865868e+00
  4.84445095e+00 -1.36792397e+00 -3.47719979e+00  1.49606025e+00
  5.95801115e-01  1.70243824e+00 -4.25953478e-01  4.76308823e+00
  1.34106219e-01  4.59011555e+00  9.27113771e-01  7.44726515e+00
 -3.84655857e+00  4.27295351e+00 -2.63011146e+00  3.74605942e+00
 -5.08856630e+00 -5.48630893e-01 -1.18538308e+00  1.26879036e-01
 -1.70179057e+00  2.94919300e+00 -4.79165840e+00  4.66359630e-02]",train_00403.jpg
482,car,"[-346.74057     223.08154      25.405207     -3.3798294     6.1709957
   16.31502      24.713402     16.150503      9.4298935     0.6129916
   -0.46123937   -4.320397     -5.334482      4.246182      9.410778
    5.953847      4.4620924     3.7648056    -0.71835244   -4.1277122
   -6.4947834    -5.1295776     1.4330516    -0.58296436   -6.386302
   -6.9076543    -0.47429228    7.573482      3.5378458    -3.4469168
   -4.9289784    -3.69861       2.469838      5.2100215     1.1148137
   -4.1776414    -9.141513     -7.823424     -2.3917882     1.0621774 ]",train_00962.jpg
483,car,"[-177.8628      159.5731       25.102547     31.464369      7.6805663
   23.38905       6.85856      13.567218      4.6196856    10.375771
   -1.263462     10.323134      0.852784      8.527896     -4.50547
    2.3717992    -5.291238     -8.819762     -8.462849     -9.713108
   -7.1333814     1.6078781    -2.537771     -4.3652678    -9.831086
   -3.4843452    -5.914592      0.5089185    -3.4490426    -0.19813934
    0.9390892     3.7930634    -3.7458627     4.4765043     4.817387
    3.8911135     2.3498113     4.191212      3.4105422     1.739367  ]",train_00153.jpg
484,car,"[-88.151306   117.42632    -19.201744    47.410183   -15.174853
   2.4931955   16.760595     0.5102512    3.3849318    7.0218077
  -9.990172    13.788184    -1.1259259    4.81129     -2.4473612
   7.705108    -7.3569884    3.8488169   -3.8192856    1.2703894
   4.7195873    0.93621236  -2.159287     3.32156     -1.3567069
   6.179739     4.3131967    6.455217    -2.3939908    6.8921127
  -2.391673     5.3348145    0.38969705   0.7899765    0.7977676
   8.068949     1.0666963    4.9357204    1.8133073   -0.3749543 ]",train_00284.jpg
485,car,"[-2.1630440e+02  1.8944244e+02 -1.9392580e+01  1.8798864e+01
 -5.6778350e+00  9.4102478e+00 -4.9950929e+00  4.9630427e+00
 -1.0576588e+00  1.6098631e+01 -4.6710707e-02  6.2280064e+00
  1.1266888e+00  1.1802189e+01  2.5622211e+00  2.1207585e+00
 -5.1537914e+00 -1.0555271e+00 -4.9196734e+00  2.2226477e+00
  2.5460517e+00 -9.1771252e-02 -4.0436602e+00 -4.4294131e-01
 -2.8536887e+00 -2.2602358e+00 -1.7677124e+00  4.7942305e-01
 -1.9024582e+00  3.6774072e-01 -8.0572563e-01 -6.2541395e-02
 -5.2095351e+00 -1.2801834e+00 -1.1139127e+00  2.2976418e+00
 -4.1191764e+00 -5.9917569e+00 -5.0523424e+00 -1.9755950e+00]",train_00361.jpg
486,dog,"[-2.9210858e+02  1.4294061e+02  1.7566427e+01  9.0486212e+00
  1.4888772e+01  1.1184587e+01 -2.9353507e+00  4.8467493e+00
  9.5993185e+00 -1.0007735e+00 -1.3477408e+00  1.0461781e+01
  8.6257076e-01 -3.4195063e+00  2.9478126e+00  2.2090797e+01
  1.9778715e+01  1.1998316e+01  5.0936604e+00  5.0071516e+00
 -1.2739733e+00  6.9912195e-02  1.5253310e+00  1.4800346e+00
  3.2308466e+00  7.7194142e-01 -1.9853573e+00  1.4002198e+00
  1.6171806e+00 -2.3770525e+00 -2.0281141e+00  2.1900945e+00
 -2.3509544e-01 -2.0197082e+00 -1.3201423e+00  4.1566672e+00
  1.5594134e+00  1.5399240e-01  1.6408378e-01  2.2201521e+00]",n02087046_296.jpg
487,bird,"[-2.37883392e+02  7.16791916e+01  1.04102945e+01  2.20767994e+01
 -4.57257318e+00  1.37522182e+01  2.19168067e+00  1.57770538e+01
  1.38307705e+01  9.56355381e+00 -1.16118222e-01  7.79037905e+00
  5.33981752e+00  8.82985592e+00 -3.47810984e+00  2.54100347e+00
 -7.28465986e+00  6.80513322e-01 -4.85995591e-01  2.74792385e+00
  1.08759189e+00  6.95397902e+00 -2.16649246e+00  3.67974234e+00
 -2.51701951e+00  2.89249849e+00 -1.69940484e+00  1.64486730e+00
 -8.04358721e-01  7.07778335e-01 -9.43446398e-01  9.66079295e-01
 -9.15853214e+00  5.63632369e-01 -1.10905278e+00  2.34358954e+00
 -2.90198278e+00  8.13978374e-01 -8.53663027e-01  1.55437934e+00]",0844.jpg
488,car,"[-1.8946176e+02  8.0835876e+01  4.9641068e+01  1.5177286e+01
  8.2976408e+00  5.7827598e-01  9.2327528e+00  3.2956066e+01
 -1.9597908e+00  1.1309669e+01  8.8833961e+00  6.6658854e+00
  2.6049709e+00 -4.8484845e+00 -2.0577712e+00 -4.9515381e+00
 -1.5012387e+01 -3.1264899e+00 -1.0757623e+01 -1.5340412e+00
 -1.3643253e+01  3.0513618e+00 -4.7963099e+00 -6.2271867e+00
 -4.2375736e+00 -2.9246862e+00 -3.2859959e-02 -2.1143496e+00
 -1.3230728e+00 -1.0329067e+00 -4.5124125e+00  9.2214209e-01
 -1.0467139e+00  1.0865091e+00 -9.1435356e+00  3.7262535e+00
 -5.4098339e+00 -2.3572149e-02 -1.9621178e+00  1.5934105e+00]",train_00251.jpg
489,dog,"[-3.1567105e+02  1.5782903e+02  9.9521589e+00 -2.7663275e+01
 -4.6754745e+01 -2.7479692e+01 -2.9417622e+01 -1.8036171e+01
 -4.4488743e+01 -2.0903023e+01  2.0402343e+00  3.4416578e+00
 -1.1728024e+00  4.7386746e+00  5.3500690e+00 -6.6877213e+00
 -2.6538318e-01  3.3384874e+00 -4.2290196e+00 -2.0736759e+00
 -5.6830449e+00 -8.1048403e+00 -4.0066609e+00 -4.8817625e+00
 -1.7843525e+00  1.7355326e+00 -2.1072042e+00  6.2113433e+00
 -2.5753069e+00 -3.9673998e+00  4.2387462e+00 -2.6154702e+00
 -5.8100169e-04  3.4616280e-01 -1.0978832e+00  4.8025241e+00
  5.3424377e+00  3.8954680e+00 -9.6294367e-01 -2.9233804e+00]",n02095314_138.jpg
490,bird,"[-4.8712033e+02  1.1832685e+02 -6.5678459e+01 -1.6161867e+01
 -5.8196644e+01 -1.2535813e+01 -2.0503428e+01 -1.7497114e+01
 -1.4362457e+01 -9.1336823e+00 -2.2961603e+01  5.9801549e-01
 -1.8367706e+01 -9.2657298e-02 -1.0335731e+01 -3.9157908e+00
 -8.4521513e+00 -1.8159007e+00 -8.7237186e+00  1.0482930e+00
 -9.4394064e+00  4.8513517e-01 -7.0122228e+00 -4.7695131e+00
 -6.5357714e+00 -8.6339229e-01 -7.6974416e+00 -3.3730288e+00
 -2.4170535e+00 -5.5519257e+00 -5.9949384e+00 -2.8218424e+00
 -6.4173322e+00 -1.8456880e+00 -3.6123405e+00 -9.8483557e-01
 -5.1198239e+00 -1.5903736e+00 -3.8089204e+00 -6.6057009e-01]",0910.jpg
491,dog,"[-3.4155435e+02  1.2954826e+02 -3.9670265e+01  1.9549265e+01
 -1.3754887e+01  6.1350331e+00 -9.5952902e+00 -4.3599844e+00
 -6.8191609e+00  1.0000945e+01  2.4354532e+00  5.7729440e+00
 -1.7661468e+00  8.5451788e-01 -2.3696704e+00  3.2720792e+00
  7.4170583e-01 -5.7705960e+00 -6.0317993e+00 -3.7045176e+00
 -4.4188422e-01 -1.7314109e+00 -1.0764477e+00 -7.4549184e+00
 -6.6640896e-01 -5.3574383e-01 -7.2118793e+00  2.0566692e+00
  6.5909071e+00  9.5596571e+00  5.5890675e+00 -2.6025611e-01
 -2.8277123e+00 -3.5025070e+00 -2.2468815e+00  9.4804305e-01
 -1.5645576e-01 -1.7110006e+00 -5.4195457e+00  3.1062140e+00]",n02097047_255.jpg
492,car,"[-5.3351131e+01  7.5944138e+01  3.1153864e+01  4.0190659e+01
 -1.0054508e+00  2.2765961e+01  8.2034922e+00  6.6386704e+00
  1.4269058e+01  7.5006948e+00 -3.7115316e+00  9.9898968e+00
 -5.1530308e-01  6.8705754e+00  1.3669518e+00  4.3430953e+00
  1.5590593e+00  4.2970901e+00 -1.9365685e+00  2.0695720e+00
 -5.9026470e+00  2.4790211e+00 -7.8613267e+00  2.4753098e+00
  4.7438046e-01  2.3375785e+00 -3.0631406e+00  4.1677375e+00
 -5.8077183e+00  7.8253918e+00 -5.7257800e+00  3.9466982e+00
  2.1989558e+00  3.4609947e+00  3.3426056e+00  4.1655149e+00
 -5.3202856e-02  6.2518468e+00 -2.5356750e+00  3.3912337e-01]",train_00498.jpg
493,bird,"[-4.3963855e+02  5.2313290e+01 -5.6365257e+01  3.5463791e+01
 -2.1471605e+01 -4.3806381e+00 -3.6113970e+00  7.8429441e+00
 -4.6680903e+00 -2.5775497e+00 -1.2681407e+00  5.3349843e+00
 -3.4075820e+00 -1.0807399e+00 -1.2547762e+00 -4.8825720e-01
 -4.0792241e+00  4.4374270e+00 -5.6261449e+00  3.9068985e+00
 -2.8267879e+00 -1.1188572e-01 -4.5050907e+00  2.3630886e-01
 -2.3265858e+00  8.8916647e-01 -3.1424696e+00  2.4314916e+00
 -2.5269232e+00  1.5406830e+00 -8.5675818e-01  2.7538478e-01
 -4.9755168e+00  1.8600982e+00 -1.5381900e+00  1.8516885e+00
 -2.5263312e+00  9.8851293e-02 -2.1979375e+00  9.6955168e-01]",0026.jpg
494,car,"[-3.6029913e+02  1.7490253e+02  4.0365417e+01  4.7662357e+01
  2.6501678e+01  3.7528759e+01  5.9463887e+00  2.1245354e+01
  4.0610137e+00  1.0357287e+01  4.4608254e+00  4.3017726e+00
 -7.0948303e-01 -5.7089481e+00 -2.7945955e+00 -4.0919795e+00
 -7.2371855e+00 -5.3635387e+00 -5.3825488e+00 -5.4078841e+00
 -1.8648494e+00 -6.2630234e+00 -3.9003630e+00 -3.1558082e+00
 -1.4635292e+00 -1.8152020e+00 -5.0257783e+00 -3.2825005e+00
 -5.9292021e+00 -2.3591053e+00 -3.6101561e+00 -3.7783484e+00
 -2.9564874e+00 -1.2602323e+00  6.7999613e-01 -4.4370327e+00
 -2.3852811e+00  1.6938414e-01 -3.3489447e+00 -4.6654563e+00]",train_00882.jpg
495,bird,"[-3.9328201e+02  5.2942177e+01 -1.2069007e+01  1.2292154e+01
  4.0269027e+00  1.2954278e+01 -8.8630400e+00 -2.0581365e-01
 -3.0530702e-02  9.3322945e+00 -2.4745486e+00  1.5572819e+00
 -4.3532338e+00  5.3430576e+00  7.8929371e-01  5.7502685e+00
 -2.7420084e+00  2.7702022e+00 -8.3880347e-01  6.6652784e+00
  7.8442824e-01  3.5561135e+00 -1.6034894e+00  5.9817548e+00
  6.1237413e-01  3.9512000e+00 -1.7534145e+00  4.8474345e+00
  6.1468279e-01  3.2956336e+00 -1.2380099e+00  3.4648154e+00
 -6.8023795e-01  3.3682137e+00  2.3923661e-01  3.4176371e+00
 -8.0713564e-01  2.3199978e+00  5.3437278e-02  5.1008229e+00]",0198.jpg
496,car,"[-1.71933899e+02  1.05863922e+02  7.89557457e+00  1.26773319e+01
  6.06004477e-01  1.11166401e+01  1.97230721e+00  1.64227924e+01
  8.68845880e-01  1.08424940e+01 -2.00640178e+00  7.58336210e+00
  3.45015883e+00 -1.35737956e+00 -4.31327701e-01  1.49819553e+00
 -1.45232129e+00  4.02032757e+00 -1.61516607e-01  5.47348785e+00
 -4.95957851e+00  6.82309210e-01 -9.76721001e+00 -3.30870032e+00
 -5.88784647e+00 -4.68815279e+00 -7.39482069e+00 -4.58298159e+00
 -5.65076542e+00  1.00467585e-01 -7.88653851e+00 -1.68381417e+00
 -4.48353624e+00 -3.89362717e+00 -6.05382395e+00 -2.62219846e-01
 -6.75654411e+00 -5.50375402e-01 -4.55902052e+00 -1.85150754e+00]",train_00074.jpg
497,dog,"[-3.9067822e+02  8.8656761e+01 -3.1605680e+01 -4.8550781e+01
 -2.4030119e+01 -3.7718029e+01 -4.5803207e+01 -2.5530983e+01
 -2.7672279e+01 -3.0764494e+01 -2.6887337e+01 -1.4011509e+01
 -2.5454498e+01 -2.0534870e+01 -1.0307096e+01  3.1907358e+00
 -1.1562797e+01 -1.3753264e+01 -1.7644600e+01 -7.9517102e+00
 -6.7687931e+00 -9.9159491e-01 -1.0849542e+01 -9.2616682e+00
 -8.2071571e+00  2.6894584e+00 -6.4948845e-01  4.5302835e+00
  1.8721700e+00  5.9729338e+00 -7.6093674e-01  3.3652171e-01
 -7.1780314e+00 -1.5165515e+00 -1.7902215e+00  2.8633132e+00
 -2.0931358e+00  3.3796904e+00 -5.9979284e-01 -2.6415470e-01]",n02097658_171.jpg
498,bird,"[-5.9393268e+02  2.0072819e+01 -8.3417809e+01 -3.4445576e+01
 -1.0883427e+01 -2.0927826e+01 -3.5946629e+01 -1.1386448e+01
  2.8155789e+00  1.2510757e+01 -3.7516229e+00  6.4011731e+00
  6.1719227e+00  1.8763792e+01  6.7584410e+00  1.2188339e+01
  8.6477900e+00  1.3909696e+01  8.3166342e+00  1.0703723e+01
  4.5424156e+00  7.2112732e+00  1.1276379e+00  7.1569438e+00
  6.7746243e+00  7.0760846e+00 -1.4002242e+00  3.7562294e+00
  4.7687113e-01  3.9795723e+00 -2.6442494e+00  3.3892899e+00
  1.9159335e+00  3.9959643e+00 -2.4677351e+00  7.6464808e-01
 -2.8442204e+00  1.8552926e+00 -1.8811165e+00  1.6397187e+00]",0772.jpg
499,car,"[-3.2813315e+02  5.3944092e+01  8.1497431e+00  1.3204472e+01
  1.3628329e+01  2.1816292e+01 -3.6448693e+00 -2.4944148e+00
 -9.4227314e-01  3.5213358e+00 -7.3969895e-01  4.0963283e+00
 -1.7655419e+00  1.0866843e+01  4.3776264e+00  5.7427220e+00
  1.9990200e+00  4.5153151e+00 -1.7061295e-01  5.8223038e+00
  1.1422435e+00  5.2015538e+00 -2.3451509e+00  6.1240020e+00
  7.7196127e-01 -1.3689965e+00  2.6354167e-01  5.1229277e+00
 -8.2208776e+00 -9.0544009e-01 -6.3962903e+00 -3.1125152e+00
 -8.0731211e+00 -3.0091615e+00 -1.0656465e+01  1.5347686e-01
 -6.5152783e+00  1.5341030e+00 -6.9477992e+00  2.1048632e+00]",train_00755.jpg
500,bird,"[-4.3382773e+02  1.0539365e+02  2.2043568e+01  5.1155772e+00
 -6.0879445e+00 -6.3894773e-01 -9.7666626e+00 -6.7452068e+00
 -1.1915430e+01 -1.2933819e+00 -3.8992257e+00  1.1723247e+00
 -5.5703869e+00  1.8734932e+00 -1.6073662e+00  4.6023202e+00
 -1.4812684e+00  1.4756272e+00 -5.1862245e+00  9.3725240e-01
 -3.8118455e+00  2.0398729e+00 -2.4125636e+00  6.2293391e+00
  3.5340784e+00  6.6376324e+00 -6.4024496e-01  2.5595229e+00
 -3.5823705e+00  1.2608615e+00 -2.9290626e+00  1.4132188e-01
 -3.1868813e+00  2.5745530e+00  2.9138038e-01  3.2031188e+00
 -1.3728026e+00  3.2712660e+00  8.5170895e-01  3.5162201e+00]",1055.jpg
501,bird,"[-6.3118561e+02  5.2017284e+01 -5.7449226e+00  1.3257361e+01
 -8.6555872e+00  1.4799361e+00 -1.3034128e+01 -4.5132570e+00
 -1.1251580e+01  3.1227798e+00 -5.9059124e+00 -3.8601136e+00
 -5.2173319e+00  3.9612281e+00 -2.8019617e+00  5.1389651e+00
 -2.1807020e+00 -6.3529485e-01 -3.1912696e+00  4.9455409e+00
 -1.6343628e+00  2.9989800e+00 -2.4383159e+00  4.5994501e+00
  1.2471294e-01  4.0030789e+00  4.5187750e-01  2.4270616e+00
 -1.4763637e+00  3.6746650e+00 -1.0278006e+00  3.0921998e+00
 -2.5990564e-01  2.8427434e+00 -5.5616528e-01  4.9050522e+00
 -2.4607296e+00  3.4208221e+00 -3.9541695e-01  3.2750900e+00]",0373.jpg
502,car,"[-287.04858     100.33707      23.67254      23.986017     14.411682
   13.538949      9.977906     20.523645      6.5580974     9.672513
    2.5737004     7.67874       3.55916       8.723818     -4.0438294
    2.8580663     2.5609868     0.5809408    -6.5780277    -4.0018597
   -6.947545     -1.3165469    -2.7249115     1.8436581    -3.770037
    3.9229841    -1.3224752     0.82494944   -6.2607365     1.6663018
   -1.4833653     0.9479514    -4.212524      3.069407     -2.9478683
    1.0327191    -2.8880115     1.4709029    -3.0341547     0.4439515 ]",train_00935.jpg
503,dog,"[-2.7292340e+02  9.1741066e+01 -7.7194511e+01 -5.9401355e+00
  1.9385279e+00 -1.3263910e+01 -9.8064852e+00  2.7087162e+00
  1.1346289e+00  2.0301491e+01  1.4967374e+01  1.1147863e+01
  1.4459729e-01  7.6138520e+00 -3.6058760e+00  1.0968573e+01
  1.5966976e+00  8.0781155e+00 -1.1132157e+00  1.2424716e+01
  1.1458335e+00  1.7656796e+00  6.8281069e+00  5.2663689e+00
 -1.4349297e+00  1.1240488e+01 -8.9025462e-01  5.8499999e+00
  3.6932290e+00  1.7328095e+00 -7.6419884e-01  5.9662657e+00
  3.0196109e-01  3.5506027e+00  6.7710799e-01  1.9461707e+00
  9.3243182e-01  7.1543717e-01  8.2798964e-01  2.4941463e+00]",n02085620_242.jpg
504,dog,"[-3.1049197e+02  1.7439316e+02 -3.8489109e+01 -3.0954657e+01
 -1.2050135e+01 -2.6987978e+01 -5.0045792e+01 -4.9959040e+00
 -3.4444431e+01 -1.7655874e+01 -1.2360802e-01 -1.7930391e+01
 -5.5113888e+00 -1.1366048e+01 -1.9268763e+01  1.0043617e+00
  4.7782154e+00  1.9052748e+01 -3.6038225e+00 -6.0777507e+00
  7.7955647e+00 -1.9736530e-01 -9.6118507e+00 -1.2193731e+01
 -7.0092481e-01 -4.5690303e+00 -4.7891641e+00 -7.0920959e+00
  4.4879791e-01 -5.4560657e+00 -4.9779248e+00  2.8752189e+00
 -8.2858038e+00  2.1815398e+00 -2.9208832e+00 -6.5271955e+00
 -2.7966366e+00 -1.3984162e+00 -3.2048578e+00 -1.2141349e+01]",n02093647_201.jpg
505,car,"[-4.15834564e+02  1.33670013e+02 -9.84418488e+00  3.81307411e+01
  1.06108055e+01  2.88933353e+01  1.67888718e+01  2.51213322e+01
  1.55150366e+01  1.49239349e+01  4.50607872e+00  9.08815861e+00
  1.08166903e-01  5.61820221e+00 -2.77264667e+00  2.61249876e+00
 -4.63809919e+00  1.07261515e+00 -7.34668732e+00  1.22725427e+00
 -5.43815970e-01 -4.33233172e-01 -5.05301666e+00 -2.15480137e+00
 -3.43821406e+00  3.32467884e-01 -2.17079711e+00  2.80602664e-01
 -1.83752978e+00  1.51229048e+00 -2.41751719e+00  4.26919508e+00
 -3.32290947e-01  1.44997537e+00 -2.79770255e+00  1.72283626e+00
  1.02120113e+00  4.47483397e+00  2.14283919e+00  6.95679128e-01]",train_00054.jpg
506,car,"[-171.83578      94.139496     53.842453     25.929045     13.217359
    1.5811833     3.6859345    27.360487     -0.32176864   14.396988
    5.11369       7.25818      -1.7701114    -9.474445     -2.9141152
   -6.0488462   -13.248215      3.1040685    -7.7130656     1.9583882
  -10.705362      7.229859     -5.6377683    -4.7249994    -3.9734788
   -0.8568155     0.25975513   -2.7242749     1.1088992     1.5841743
   -4.712893      0.67972594   -1.9892373    -1.9578221    -6.9882035
   -0.25158966   -7.2610183    -0.42402032   -1.6782619    -0.30426893]",train_00246.jpg
